"Group","distance","Cytoarchitecture","subject","type"
"Children",14.15718,"Different","RHSA06_06292014","Functional ROI"
"Children",22.25116,"Different","INW06_09212014","Functional ROI"
"Children",12.04103,"Different","SM08_04172016","Functional ROI"
"Children",29.05992,"Different","MDT09_07262014","Functional ROI"
"Children",16.81672,"Different","LEE09_06242014","Functional ROI"
"Children",17.68682,"Different","GEJA09_07262014","Functional ROI"
"Children",17.35047,"Different","STM10_05112014-jesse","Functional ROI"
"Children",23.71032,"Different","SERA10_06292014","Functional ROI"
"Children",18.24353,"Different","KW10_03152015","Functional ROI"
"Children",14.17334,"Different","NW10_04122015","Functional ROI"
"Children",20.70796,"Different","RJM10_04252015","Functional ROI"
"Children",17.94556,"Different","CGSA11_09072014","Functional ROI"
"Children",13.45029,"Different","JTE11_06242014","Functional ROI"
"Children",20.96264,"Different","JDB11_04012015","Functional ROI"
"Children",22.22658,"Different","CS11_11052015","Functional ROI"
"Children",20.7374,"Different","OS12_07292014","Functional ROI"
"Children",19.27382,"Different","RHSA06_06292014","Functional ROI"
"Children",28.19351,"Different","INW06_09212014","Functional ROI"
"Children",15.7813,"Different","SDS07_05112014","Functional ROI"
"Children",13.687,"Different","SM08_04172016","Functional ROI"
"Children",13.3492,"Different","LEE09_06242014","Functional ROI"
"Children",14.14924,"Different","GEJA09_07262014","Functional ROI"
"Children",21.51405,"Different","AG10_07192014","Functional ROI"
"Children",17.65501,"Different","SERA10_06292014","Functional ROI"
"Children",17.20667,"Different","KW10_03152015","Functional ROI"
"Children",19.5443,"Different","RJM10_04252015","Functional ROI"
"Children",26.21599,"Different","CGSA11_09072014","Functional ROI"
"Children",21.96612,"Different","MFC11_08172014","Functional ROI"
"Children",15.94882,"Different","JDB11_04012015","Functional ROI"
"Children",17.23382,"Different","LL11_07192015","Functional ROI"
"Children",22.6394,"Different","CS11_11052015","Functional ROI"
"Children",23.67179,"Different","CLC06_03232015","Functional ROI"
"Children",11.34066,"Same","RHSA06_06292014","Functional ROI"
"Children",8.474823,"Same","INW06_09212014","Functional ROI"
"Children",17.28545,"Same","SM08_04172016","Functional ROI"
"Children",12.32521,"Same","LEE09_06242014","Functional ROI"
"Children",18.44637,"Same","GEJA09_07262014","Functional ROI"
"Children",10.4739,"Same","AG10_07192014","Functional ROI"
"Children",13.46014,"Same","STM10_05112014-jesse","Functional ROI"
"Children",13.91999,"Same","SERA10_06292014","Functional ROI"
"Children",6.646939,"Same","KW10_03152015","Functional ROI"
"Children",11.64479,"Same","RJM10_04252015","Functional ROI"
"Children",2.588758,"Same","AyS10_08152015","Functional ROI"
"Children",7.474875,"Same","CGSA11_09072014","Functional ROI"
"Children",21.55608,"Same","JTE11_06242014","Functional ROI"
"Children",12.27221,"Same","JDB11_04012015","Functional ROI"
"Children",5.657066,"Same","LL11_07192015","Functional ROI"
"Children",6.245832,"Same","CS11_11052015","Functional ROI"
"Children",3.302173,"Same","CLC06_03232015","Functional ROI"
"Children",7.012822,"Same","RJ09_08172015","Functional ROI"
"Children",8.107896,"Same","RHSA06_06292014","Functional ROI"
"Children",8.475296,"Same","INW06_09212014","Functional ROI"
"Children",5.442786,"Same","SM08_04172016","Functional ROI"
"Children",6.587092,"Same","LEE09_06242014","Functional ROI"
"Children",12.29643,"Same","GEJA09_07262014","Functional ROI"
"Children",14.57151,"Same","SERA10_06292014","Functional ROI"
"Children",8.020037,"Same","KW10_03152015","Functional ROI"
"Children",5.466383,"Same","RJM10_04252015","Functional ROI"
"Children",4.378594,"Same","CGSA11_09072014","Functional ROI"
"Children",12.19189,"Same","MFC11_08172014","Functional ROI"
"Children",9.176792,"Same","JDB11_04012015","Functional ROI"
"Children",12.45907,"Same","CS11_11052015","Functional ROI"
"Children",9.105842,"Same","OS12_07292014","Functional ROI"
"Adults",28.25035,"Different","CS22_03222015","Functional ROI"
"Adults",13.80078,"Different","JH22_03192015","Functional ROI"
"Adults",22.24239,"Different","MJW22_04152015","Functional ROI"
"Adults",16.69785,"Different","NAV22_03292015","Functional ROI"
"Adults",23.24341,"Different","ML23_04042015","Functional ROI"
