"subject","hem","roi","cyto","domain","group","tract","percentage"
"KG22/KG22_150201_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0
"KG22/KG22_150201_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",18.5185185185185
"KG22/KG22_150201_time_01_1","lh","FG2-mid","FG4","none","adult","AF",11.1111111111111
"KG22/KG22_150201_time_01_1","lh","FG2-mid","FG4","none","adult","pAF",3.7037037037037
"KG22/KG22_150201_time_01_1","lh","FG2-mid","FG4","none","adult","VOF",66.6666666666667
"CS22/CS22_150322_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0.992555831265509
"CS22/CS22_150322_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",5.95533498759305
"CS22/CS22_150322_time_01_1","lh","FG2-mid","FG4","none","adult","AF",15.136476426799
"CS22/CS22_150322_time_01_1","lh","FG2-mid","FG4","none","adult","pAF",54.3424317617866
"CS22/CS22_150322_time_01_1","lh","FG2-mid","FG4","none","adult","VOF",20.5955334987593
"JH22/JH22_150227_time_01_2","lh","FG2-mid","FG4","none","adult","IFOF",0
"JH22/JH22_150227_time_01_2","lh","FG2-mid","FG4","none","adult","ILF",13.4897360703812
"JH22/JH22_150227_time_01_2","lh","FG2-mid","FG4","none","adult","AF",0.879765395894428
"JH22/JH22_150227_time_01_2","lh","FG2-mid","FG4","none","adult","pAF",4.10557184750733
"JH22/JH22_150227_time_01_2","lh","FG2-mid","FG4","none","adult","VOF",79.1788856304985
"MJW22/MJW22_150415_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0
"MJW22/MJW22_150415_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",56.5891472868217
"MJW22/MJW22_150415_time_01_1","lh","FG2-mid","FG4","none","adult","AF",0.775193798449612
"MJW22/MJW22_150415_time_01_1","lh","FG2-mid","FG4","none","adult","pAF",0
"MJW22/MJW22_150415_time_01_1","lh","FG2-mid","FG4","none","adult","VOF",42.6356589147287
"NAV22/NAV22_150329_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0.550964187327824
"NAV22/NAV22_150329_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",2.75482093663912
"NAV22/NAV22_150329_time_01_1","lh","FG2-mid","FG4","none","adult","AF",0.275482093663912
"NAV22/NAV22_150329_time_01_1","lh","FG2-mid","FG4","none","adult","pAF",12.6721763085399
"NAV22/NAV22_150329_time_01_1","lh","FG2-mid","FG4","none","adult","VOF",81.267217630854
"ML23/ML23_150314_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0.512820512820513
"ML23/ML23_150314_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",12.8205128205128
"ML23/ML23_150314_time_01_1","lh","FG2-mid","FG4","none","adult","AF",3.58974358974359
"ML23/ML23_150314_time_01_1","lh","FG2-mid","FG4","none","adult","pAF",22.0512820512821
"ML23/ML23_150314_time_01_1","lh","FG2-mid","FG4","none","adult","VOF",60.5128205128205
"EA23/EA23_150208_time_01_1","lh","FG2-mid","FG4","none","adult","IFOF",0.591715976331361
"EA23/EA23_150208_time_01_1","lh","FG2-mid","FG4","none","adult","ILF",4.14201183431953
