subject,actual_label,predicted_label,classified_by,Group,Accuracy
ZCM05,FG4,FG3,Cytoarchitecture,Children,0
RHSA06,FG4,FG4,Cytoarchitecture,Children,100
INW06,FG4,FG4,Cytoarchitecture,Children,100
SM08,FG4,FG4,Cytoarchitecture,Children,100
MDT09,FG4,FG3,Cytoarchitecture,Children,0
LEE09,FG4,FG4,Cytoarchitecture,Children,100
GEJA09,FG4,FG4,Cytoarchitecture,Children,100
AG10,FG4,FG4,Cytoarchitecture,Children,100
STM10,FG4,FG4,Cytoarchitecture,Children,100
SERA10,FG4,FG4,Cytoarchitecture,Children,100
KW10,FG4,FG4,Cytoarchitecture,Children,100
NW10,FG4,FG4,Cytoarchitecture,Children,100
RJM10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11,FG4,FG4,Cytoarchitecture,Children,100
JTE11,FG4,FG4,Cytoarchitecture,Children,100
JDB11,FG4,FG4,Cytoarchitecture,Children,100
LL11,FG4,FG4,Cytoarchitecture,Children,100
CS11,FG4,FG4,Cytoarchitecture,Children,100
OS12,FG4,FG4,Cytoarchitecture,Children,100
CLC06,FG4,FG4,Cytoarchitecture,Children,100
RJ09,FG4,FG4,Cytoarchitecture,Children,100
RHSA06,FG4,FG4,Cytoarchitecture,Children,100
INW06,FG4,FG4,Cytoarchitecture,Children,100
SDS07,FG4,FG4,Cytoarchitecture,Children,100
SM08,FG4,FG4,Cytoarchitecture,Children,100
LEE09,FG4,FG4,Cytoarchitecture,Children,100
GEJA09,FG4,FG4,Cytoarchitecture,Children,100
AG10,FG4,FG4,Cytoarchitecture,Children,100
STM10,FG4,FG4,Cytoarchitecture,Children,100
SERA10,FG4,FG4,Cytoarchitecture,Children,100
KW10,FG4,FG4,Cytoarchitecture,Children,100
RJM10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11,FG4,FG3,Cytoarchitecture,Children,0
MFC11,FG4,FG4,Cytoarchitecture,Children,100
JTE11,FG4,FG4,Cytoarchitecture,Children,100
JDB11,FG4,FG4,Cytoarchitecture,Children,100
LL11,FG4,FG4,Cytoarchitecture,Children,100
CS11,FG4,FG4,Cytoarchitecture,Children,100
CLC06,FG4,FG4,Cytoarchitecture,Children,100
RJ09,FG4,FG4,Cytoarchitecture,Children,100
ZCM05,FG4,FG4,Cytoarchitecture,Children,100
MEC05,FG4,FG4,Cytoarchitecture,Children,100
RHSA06,FG4,FG4,Cytoarchitecture,Children,100
INW06,FG4,FG4,Cytoarchitecture,Children,100
AlS07,FG4,FG4,Cytoarchitecture,Children,100
SDS07,FG4,FG4,Cytoarchitecture,Children,100
SM08,FG4,FG4,Cytoarchitecture,Children,100
MDT09,FG4,FG4,Cytoarchitecture,Children,100
LEE09,FG4,FG4,Cytoarchitecture,Children,100
GEJA09,FG4,FG4,Cytoarchitecture,Children,100
DAPA10,FG4,FG4,Cytoarchitecture,Children,100
AG10,FG4,FG4,Cytoarchitecture,Children,100
STM10,FG4,FG4,Cytoarchitecture,Children,100
SERA10,FG4,FG3,Cytoarchitecture,Children,0
KW10,FG4,FG4,Cytoarchitecture,Children,100
NW10,FG4,FG4,Cytoarchitecture,Children,100
RJM10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11,FG4,FG4,Cytoarchitecture,Children,100
MFC11,FG4,FG4,Cytoarchitecture,Children,100
JTE11,FG4,FG4,Cytoarchitecture,Children,100
JDB11,FG4,FG4,Cytoarchitecture,Children,100
CS11,FG4,FG4,Cytoarchitecture,Children,100
OS12,FG4,FG4,Cytoarchitecture,Children,100
CLC06,FG4,FG4,Cytoarchitecture,Children,100
RJ09,FG4,FG4,Cytoarchitecture,Children,100
ZCM05,FG3,FG3,Cytoarchitecture,Children,100
MEC05,FG3,FG4,Cytoarchitecture,Children,0
RHSA06,FG3,FG3,Cytoarchitecture,Children,100
INW06,FG3,FG3,Cytoarchitecture,Children,100
AlS07,FG3,FG3,Cytoarchitecture,Children,100
SDS07,FG3,FG4,Cytoarchitecture,Children,0
SM08,FG3,FG3,Cytoarchitecture,Children,100
MDT09,FG3,FG3,Cytoarchitecture,Children,100
LEE09,FG3,FG4,Cytoarchitecture,Children,0
GEJA09,FG3,FG3,Cytoarchitecture,Children,100
DAPA10,FG3,FG3,Cytoarchitecture,Children,100
AG10,FG3,FG3,Cytoarchitecture,Children,100
STM10,FG3,FG3,Cytoarchitecture,Children,100
SERA10,FG3,FG4,Cytoarchitecture,Children,0
KW10,FG3,FG3,Cytoarchitecture,Children,100
NW10,FG3,FG3,Cytoarchitecture,Children,100
RJM10,FG3,FG3,Cytoarchitecture,Children,100
AyS10,FG3,FG3,Cytoarchitecture,Children,100
CGSA11,FG3,FG3,Cytoarchitecture,Children,100
MFC11,FG3,FG4,Cytoarchitecture,Children,0
JTE11,FG3,FG3,Cytoarchitecture,Children,100
JDB11,FG3,FG3,Cytoarchitecture,Children,100
LL11,FG3,FG3,Cytoarchitecture,Children,100
CS11,FG3,FG3,Cytoarchitecture,Children,100
OS12,FG3,FG3,Cytoarchitecture,Children,100
CLC06,FG3,FG3,Cytoarchitecture,Children,100
ZCM05,face,place,Category,Children,0
RHSA06,face,face,Category,Children,100
INW06,face,face,Category,Children,100
SM08,face,body,Category,Children,0
MDT09,face,place,Category,Children,0
LEE09,face,body,Category,Children,0
GEJA09,face,body,Category,Children,0
AG10,face,face,Category,Children,100
STM10,face,body,Category,Children,0
SERA10,face,body,Category,Children,0
KW10,face,face,Category,Children,100
NW10,face,face,Category,Children,100
RJM10,face,face,Category,Children,100
AyS10,face,word,Category,Children,0
CGSA11,face,word,Category,Children,0
JTE11,face,body,Category,Children,0
JDB11,face,word,Category,Children,0
LL11,face,body,Category,Children,0
CS11,face,face,Category,Children,100
OS12,face,face,Category,Children,100
CLC06,face,face,Category,Children,100
RJ09,face,face,Category,Children,100
RHSA06,word,word,Category,Children,100
INW06,word,word,Category,Children,100
SDS07,word,face,Category,Children,0
SM08,word,body,Category,Children,0
LEE09,word,word,Category,Children,100
GEJA09,word,face,Category,Children,0
AG10,word,word,Category,Children,100
STM10,word,word,Category,Children,100
SERA10,word,word,Category,Children,100
KW10,word,face,Category,Children,0
RJM10,word,word,Category,Children,100
AyS10,word,word,Category,Children,100
CGSA11,word,place,Category,Children,0
MFC11,word,word,Category,Children,100
JTE11,word,word,Category,Children,100
JDB11,word,word,Category,Children,100
LL11,word,body,Category,Children,0
CS11,word,face,Category,Children,0
CLC06,word,face,Category,Children,0
RJ09,word,face,Category,Children,0
ZCM05,body,body,Category,Children,100
MEC05,body,face,Category,Children,0
RHSA06,body,face,Category,Children,0
INW06,body,word,Category,Children,0
AlS07,body,body,Category,Children,100
SDS07,body,face,Category,Children,0
SM08,body,face,Category,Children,0
MDT09,body,face,Category,Children,0
LEE09,body,word,Category,Children,0
GEJA09,body,body,Category,Children,100
DAPA10,body,face,Category,Children,0
AG10,body,face,Category,Children,0
STM10,body,word,Category,Children,0
SERA10,body,place,Category,Children,0
KW10,body,word,Category,Children,0
NW10,body,body,Category,Children,100
RJM10,body,face,Category,Children,0
AyS10,body,face,Category,Children,0
CGSA11,body,word,Category,Children,0
MFC11,body,word,Category,Children,0
JTE11,body,body,Category,Children,100
JDB11,body,word,Category,Children,0
CS11,body,face,Category,Children,0
OS12,body,face,Category,Children,0
CLC06,body,word,Category,Children,0
RJ09,body,word,Category,Children,0
ZCM05,place,place,Category,Children,100
MEC05,place,face,Category,Children,0
RHSA06,place,place,Category,Children,100
INW06,place,place,Category,Children,100
AlS07,place,place,Category,Children,100
SDS07,place,face,Category,Children,0
SM08,place,place,Category,Children,100
MDT09,place,place,Category,Children,100
LEE09,place,face,Category,Children,0
GEJA09,place,place,Category,Children,100
DAPA10,place,place,Category,Children,100
AG10,place,place,Category,Children,100
STM10,place,place,Category,Children,100
SERA10,place,face,Category,Children,0
KW10,place,place,Category,Children,100
NW10,place,place,Category,Children,100
RJM10,place,place,Category,Children,100
AyS10,place,place,Category,Children,100
CGSA11,place,place,Category,Children,100
MFC11,place,face,Category,Children,0
JTE11,place,place,Category,Children,100
JDB11,place,place,Category,Children,100
LL11,place,place,Category,Children,100
CS11,place,place,Category,Children,100
OS12,place,place,Category,Children,100
CLC06,place,place,Category,Children,100
ZCM05,mFus-faces,CoS-places,ROI,Children,0
RHSA06,mFus-faces,mFus-faces,ROI,Children,100
INW06,mFus-faces,mFus-faces,ROI,Children,100
SM08,mFus-faces,OTS-bodies,ROI,Children,0
MDT09,mFus-faces,CoS-places,ROI,Children,0
LEE09,mFus-faces,OTS-bodies,ROI,Children,0
GEJA09,mFus-faces,OTS-bodies,ROI,Children,0
AG10,mFus-faces,mFus-faces,ROI,Children,100
STM10,mFus-faces,OTS-bodies,ROI,Children,0
SERA10,mFus-faces,OTS-bodies,ROI,Children,0
KW10,mFus-faces,mFus-faces,ROI,Children,100
NW10,mFus-faces,mFus-faces,ROI,Children,100
RJM10,mFus-faces,mFus-faces,ROI,Children,100
AyS10,mFus-faces,mOTS-words,ROI,Children,0
CGSA11,mFus-faces,mOTS-words,ROI,Children,0
JTE11,mFus-faces,OTS-bodies,ROI,Children,0
JDB11,mFus-faces,mOTS-words,ROI,Children,0
LL11,mFus-faces,OTS-bodies,ROI,Children,0
CS11,mFus-faces,mFus-faces,ROI,Children,100
OS12,mFus-faces,mFus-faces,ROI,Children,100
CLC06,mFus-faces,mFus-faces,ROI,Children,100
RJ09,mFus-faces,mFus-faces,ROI,Children,100
RHSA06,mOTS-words,mOTS-words,ROI,Children,100
INW06,mOTS-words,mOTS-words,ROI,Children,100
SDS07,mOTS-words,mFus-faces,ROI,Children,0
SM08,mOTS-words,OTS-bodies,ROI,Children,0
LEE09,mOTS-words,mOTS-words,ROI,Children,100
GEJA09,mOTS-words,mFus-faces,ROI,Children,0
AG10,mOTS-words,mOTS-words,ROI,Children,100
STM10,mOTS-words,mOTS-words,ROI,Children,100
SERA10,mOTS-words,mOTS-words,ROI,Children,100
KW10,mOTS-words,mFus-faces,ROI,Children,0
RJM10,mOTS-words,mOTS-words,ROI,Children,100
AyS10,mOTS-words,mOTS-words,ROI,Children,100
CGSA11,mOTS-words,CoS-places,ROI,Children,0
MFC11,mOTS-words,mOTS-words,ROI,Children,100
JTE11,mOTS-words,mOTS-words,ROI,Children,100
JDB11,mOTS-words,mOTS-words,ROI,Children,100
LL11,mOTS-words,OTS-bodies,ROI,Children,0
CS11,mOTS-words,mFus-faces,ROI,Children,0
CLC06,mOTS-words,mFus-faces,ROI,Children,0
RJ09,mOTS-words,mFus-faces,ROI,Children,0
ZCM05,OTS-bodies,OTS-bodies,ROI,Children,100
MEC05,OTS-bodies,mFus-faces,ROI,Children,0
RHSA06,OTS-bodies,mFus-faces,ROI,Children,0
INW06,OTS-bodies,mOTS-words,ROI,Children,0
AlS07,OTS-bodies,OTS-bodies,ROI,Children,100
SDS07,OTS-bodies,mFus-faces,ROI,Children,0
SM08,OTS-bodies,mFus-faces,ROI,Children,0
MDT09,OTS-bodies,mFus-faces,ROI,Children,0
LEE09,OTS-bodies,mOTS-words,ROI,Children,0
GEJA09,OTS-bodies,OTS-bodies,ROI,Children,100
