"subject","hem","roi","cyto","domain","group","tract","percentage"
"KG22/KG22_150201_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"KG22/KG22_150201_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",3.54107648725212
"KG22/KG22_150201_time_01_1","lh","mFus-faces","FG4","face","adult","AF",22.0963172804533
"KG22/KG22_150201_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",73.371104815864
"KG22/KG22_150201_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.708215297450425
"CS22/CS22_150322_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"CS22/CS22_150322_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",45.5855855855856
"CS22/CS22_150322_time_01_1","lh","mFus-faces","FG4","face","adult","AF",25.2252252252252
"CS22/CS22_150322_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",29.009009009009
"CS22/CS22_150322_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"JH22/JH22_150227_time_01_2","lh","mFus-faces","FG4","face","adult","IFOF",0
"JH22/JH22_150227_time_01_2","lh","mFus-faces","FG4","face","adult","ILF",29.2446292446292
"JH22/JH22_150227_time_01_2","lh","mFus-faces","FG4","face","adult","AF",30.8385308385308
"JH22/JH22_150227_time_01_2","lh","mFus-faces","FG4","face","adult","pAF",33.6105336105336
"JH22/JH22_150227_time_01_2","lh","mFus-faces","FG4","face","adult","VOF",4.71240471240471
"MJW22/MJW22_150415_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MJW22/MJW22_150415_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",36.1413043478261
"MJW22/MJW22_150415_time_01_1","lh","mFus-faces","FG4","face","adult","AF",15.4891304347826
"MJW22/MJW22_150415_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",47.554347826087
"MJW22/MJW22_150415_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"NAV22/NAV22_150329_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.117439812096301
"NAV22/NAV22_150329_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",2.99471520845567
"NAV22/NAV22_150329_time_01_1","lh","mFus-faces","FG4","face","adult","AF",24.5449207281268
"NAV22/NAV22_150329_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",65.0616559013506
"NAV22/NAV22_150329_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",6.92894891368174
"ML23/ML23_150314_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"ML23/ML23_150314_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",44
"ML23/ML23_150314_time_01_1","lh","mFus-faces","FG4","face","adult","AF",18
"ML23/ML23_150314_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",38
"ML23/ML23_150314_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"EA23/EA23_150208_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"EA23/EA23_150208_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",10.3550295857988
"EA23/EA23_150208_time_01_1","lh","mFus-faces","FG4","face","adult","AF",37.2781065088757
"EA23/EA23_150208_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",51.1834319526627
"EA23/EA23_150208_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"JEW23/JEW23_150322_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"JEW23/JEW23_150322_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",39.0070921985816
"JEW23/JEW23_150322_time_01_1","lh","mFus-faces","FG4","face","adult","AF",14.8936170212766
"JEW23/JEW23_150322_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",45.8628841607565
"JEW23/JEW23_150322_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"JP23/JP23_150210_time_01_2","lh","mFus-faces","FG4","face","adult","IFOF",0
"JP23/JP23_150210_time_01_2","lh","mFus-faces","FG4","face","adult","ILF",7.00636942675159
"JP23/JP23_150210_time_01_2","lh","mFus-faces","FG4","face","adult","AF",10.828025477707
"JP23/JP23_150210_time_01_2","lh","mFus-faces","FG4","face","adult","pAF",56.4755838641189
"JP23/JP23_150210_time_01_2","lh","mFus-faces","FG4","face","adult","VOF",21.4437367303609
"SL23/SL23_150321_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"SL23/SL23_150321_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",9.48905109489051
"SL23/SL23_150321_time_01_1","lh","mFus-faces","FG4","face","adult","AF",38.1995133819951
"SL23/SL23_150321_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",52.0681265206813
"SL23/SL23_150321_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.0608272506082725
"MW23/MW23_140720_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MW23/MW23_140720_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",13.860103626943
"MW23/MW23_140720_time_01_1","lh","mFus-faces","FG4","face","adult","AF",11.6580310880829
"MW23/MW23_140720_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",73.0569948186529
"MW23/MW23_140720_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.38860103626943
"LB23/LB23_140706_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.182481751824818
"LB23/LB23_140706_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",9.12408759124088
"LB23/LB23_140706_time_01_1","lh","mFus-faces","FG4","face","adult","AF",23.1751824817518
"LB23/LB23_140706_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",66.0583941605839
"LB23/LB23_140706_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"MBA24/MBA24_150227_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MBA24/MBA24_150227_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",85.945945945946
"MBA24/MBA24_150227_time_01_1","lh","mFus-faces","FG4","face","adult","AF",5.94594594594595
"MBA24/MBA24_150227_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",7.56756756756757
"MBA24/MBA24_150227_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.540540540540541
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.62646828504307
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",6.42129992169146
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","AF",20.7517619420517
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",61.9420516836335
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",5.48159749412686
