froi,group,hemi,croi,overlap,subject
mFus_Faces_cc3,kid,lh,FG1,0,AG10
mFus_Faces_cc3,kid,lh,FG2,0,AG10
mFus_Faces_cc3,kid,lh,FG3,0,AG10
mFus_Faces_cc3,kid,lh,FG4,0.956521739130435,AG10
mFus_Faces_cc3,kid,lh,FG1,0,AyS10
mFus_Faces_cc3,kid,lh,FG2,0.0491803278688525,AyS10
mFus_Faces_cc3,kid,lh,FG3,0,AyS10
mFus_Faces_cc3,kid,lh,FG4,0.950819672131147,AyS10
mFus_Faces_cc3,kid,lh,FG1,0,CGSA11
mFus_Faces_cc3,kid,lh,FG2,0,CGSA11
mFus_Faces_cc3,kid,lh,FG3,0,CGSA11
mFus_Faces_cc3,kid,lh,FG4,0.937269372693727,CGSA11
mFus_Faces_cc3,kid,lh,FG1,0,CLC06
mFus_Faces_cc3,kid,lh,FG2,0.046875,CLC06
mFus_Faces_cc3,kid,lh,FG3,0.0234375,CLC06
mFus_Faces_cc3,kid,lh,FG4,0.9296875,CLC06
mFus_Faces_cc3,kid,lh,FG1,0,CS11
mFus_Faces_cc3,kid,lh,FG2,0,CS11
mFus_Faces_cc3,kid,lh,FG3,0,CS11
mFus_Faces_cc3,kid,lh,FG4,1,CS11
mFus_Faces_cc3,kid,lh,FG1,0,GEJA09
mFus_Faces_cc3,kid,lh,FG2,0,GEJA09
mFus_Faces_cc3,kid,lh,FG3,0,GEJA09
mFus_Faces_cc3,kid,lh,FG4,1,GEJA09
mFus_Faces_cc3,kid,lh,FG1,0,INW06
mFus_Faces_cc3,kid,lh,FG2,0,INW06
mFus_Faces_cc3,kid,lh,FG3,0,INW06
mFus_Faces_cc3,kid,lh,FG4,1,INW06
mFus_Faces_cc3,kid,lh,FG1,0,JDB11
mFus_Faces_cc3,kid,lh,FG2,0,JDB11
mFus_Faces_cc3,kid,lh,FG3,0,JDB11
mFus_Faces_cc3,kid,lh,FG4,1,JDB11
mFus_Faces_cc3,kid,lh,FG1,0,JTE11
mFus_Faces_cc3,kid,lh,FG2,0.772727272727273,JTE11
mFus_Faces_cc3,kid,lh,FG3,0,JTE11
mFus_Faces_cc3,kid,lh,FG4,0.227272727272727,JTE11
mFus_Faces_cc3,kid,lh,FG1,0,KW10
mFus_Faces_cc3,kid,lh,FG2,0.0344827586206897,KW10
mFus_Faces_cc3,kid,lh,FG3,0,KW10
mFus_Faces_cc3,kid,lh,FG4,0.952978056426332,KW10
mFus_Faces_cc3,kid,lh,FG1,0,LEE09
mFus_Faces_cc3,kid,lh,FG2,0.38695652173913,LEE09
mFus_Faces_cc3,kid,lh,FG3,0,LEE09
mFus_Faces_cc3,kid,lh,FG4,0.61304347826087,LEE09
mFus_Faces_cc3,kid,lh,FG1,0,LL11
mFus_Faces_cc3,kid,lh,FG2,0,LL11
