subject,actual_label,predicted_label,classified_by,Group,Accuracy
ZCM05_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
ZCM05_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
ZCM05_T1w1_final_edited,FG3,FG3,Cytoarchitecture,Children,100
MEC05_T1w1_Final2_edited,FG4,FG4,Cytoarchitecture,Children,100
MEC05_T1w1_Final2_edited,FG2,FG2,Cytoarchitecture,Children,100
MEC05_T1w1_Final2_edited,FG3,FG3,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG3,FG3,Cytoarchitecture,Children,100
INW06_final_edited,FG4,FG4,Cytoarchitecture,Children,100
INW06_final_edited,FG4,FG4,Cytoarchitecture,Children,100
INW06_final_edited,FG4,FG4,Cytoarchitecture,Children,100
INW06_final_edited,FG2,FG2,Cytoarchitecture,Children,100
INW06_final_edited,FG2,FG2,Cytoarchitecture,Children,100
INW06_final_edited,FG3,FG3,Cytoarchitecture,Children,100
AlS07_edited,FG4,FG4,Cytoarchitecture,Children,100
AlS07_edited,FG2,FG4,Cytoarchitecture,Children,0
AlS07_edited,FG3,FG3,Cytoarchitecture,Children,100
SDS07_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
SDS07_T1w1_final_edited,FG4,FG2,Cytoarchitecture,Children,0
SDS07_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
SDS07_T1w1_final_edited,FG3,FG2,Cytoarchitecture,Children,0
SM08_edited,FG4,FG4,Cytoarchitecture,Children,100
SM08_edited,FG4,FG2,Cytoarchitecture,Children,0
SM08_edited,FG4,FG4,Cytoarchitecture,Children,100
SM08_edited,FG2,FG2,Cytoarchitecture,Children,100
SM08_edited,FG2,FG2,Cytoarchitecture,Children,100
SM08_edited,FG3,FG3,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG3,FG3,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
