distance,roipair,group,grouping_variable,subject
28.25035,faces,adults,domain,CS22_03222015
13.80078,faces,adults,domain,JH22_03192015
22.24239,faces,adults,domain,MJW22_04152015
16.69785,faces,adults,domain,NAV22_03292015
23.24341,faces,adults,domain,ML23_04042015
26.30544,faces,adults,domain,EA23_02242015
20.75828,faces,adults,domain,JEW23_04242015
13.80084,faces,adults,domain,JP23_01102015
28.20775,faces,adults,domain,SL23_04052015
17.37671,faces,adults,domain,MBA24_03192015
18.07772,faces,adults,domain,JG24_01062014
12.85853,faces,adults,domain,AWMS24_08062014
23.30512,faces,adults,domain,BM24_08022015
14.10214,faces,adults,domain,AI24_04212015
12.43978,faces,adults,domain,AD25_02272015
12.02993,faces,adults,domain,MB26_01112015
13.12839,faces,adults,domain,MC26_02262015
15.33419,faces,adults,domain,MMC27_04132015
20.21888,faces,adults,domain,MSH28_04082015
8.164484,words,adults,domain,KG22_02142015
19.0064,words,adults,domain,CS22_03222015
8.80466,words,adults,domain,JH22_03192015
20.42826,words,adults,domain,MJW22_04152015
14.92317,words,adults,domain,NAV22_03292015
10.90496,words,adults,domain,ML23_04042015
18.21379,words,adults,domain,JEW23_04242015
18.75543,words,adults,domain,GB23_03152015
22.30023,words,adults,domain,JP23_01102015
23.94968,words,adults,domain,SL23_04052015
11.92955,words,adults,domain,MW23_08042014
17.20147,words,adults,domain,LB23_07292014
9.184743,words,adults,domain,MBA24_03192015
8.645694,words,adults,domain,TL24_04232015
18.62272,words,adults,domain,JG24_01062014
13.0544,words,adults,domain,NC24_04162015
15.1812,words,adults,domain,CB24_03212015
17.93088,words,adults,domain,CR24_03282015
20.46665,words,adults,domain,AI24_04212015
17.61203,words,adults,domain,AD25_02272015
8.946351,words,adults,domain,JM25_03292015
13.03738,words,adults,domain,MB26_01112015
9.152332,words,adults,domain,MC26_02262015
17.95165,words,adults,domain,MMC27_04132015
9.023143,words,adults,domain,MSH28_04082015
15.72408,FG4,adults,cyto,KG22_02142015
15.17073,FG4,adults,cyto,CS22_03222015
13.23513,FG4,adults,cyto,JH22_03192015
12.46142,FG4,adults,cyto,MJW22_04152015
3.062771,FG4,adults,cyto,NAV22_03292015
18.17142,FG4,adults,cyto,ML23_04042015
7.304151,FG4,adults,cyto,JEW23_04242015
13.6237,FG4,adults,cyto,JP23_01102015
11.57297,FG4,adults,cyto,SL23_04052015
5.848611,FG4,adults,cyto,MW23_08042014
5.441111,FG4,adults,cyto,LB23_07292014
16.12824,FG4,adults,cyto,MBA24_03192015
12.20458,FG4,adults,cyto,TL24_04232015
15.76631,FG4,adults,cyto,JG24_01062014
15.83161,FG4,adults,cyto,NC24_04162015
12.87476,FG4,adults,cyto,CB24_03212015
14.88267,FG4,adults,cyto,CR24_03282015
8.980724,FG4,adults,cyto,AI24_04212015
12.44596,FG4,adults,cyto,AD25_02272015
9.317072,FG4,adults,cyto,MB26_01112015
17.20347,FG4,adults,cyto,MC26_02262015
13.03109,FG4,adults,cyto,MMC27_04132015
12.57282,FG4,adults,cyto,MSH28_04082015
12.16542,FG2,adults,cyto,CS22_03222015
7.688134,FG2,adults,cyto,JH22_03192015
6.08399,FG2,adults,cyto,MJW22_04152015
8.677075,FG2,adults,cyto,NAV22_03292015
7.569072,FG2,adults,cyto,ML23_04042015
7.177389,FG2,adults,cyto,JEW23_04242015
7.045954,FG2,adults,cyto,JP23_01102015
12.22046,FG2,adults,cyto,SL23_04052015
9.300426,FG2,adults,cyto,MBA24_03192015
8.953832,FG2,adults,cyto,JG24_01062014
7.895642,FG2,adults,cyto,BM24_08022015
8.541893,FG2,adults,cyto,AI24_04212015
9.502117,FG2,adults,cyto,AD25_02272015
11.0235,FG2,adults,cyto,JM25_03292015
7.683924,FG2,adults,cyto,MB26_01112015
14.34037,FG2,adults,cyto,MC26_02262015
12.38277,FG2,adults,cyto,MMC27_04132015
16.78214,FG2,adults,cyto,MSH28_04082015
