"subject","hem","roi","cyto","domain","group","tract","percentage"
"KG22/KG22_150201_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"KG22/KG22_150201_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",22.8758169934641
"KG22/KG22_150201_time_01_1","rh","mFus-faces","FG4","face","adult","AF",23.202614379085
"KG22/KG22_150201_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",53.921568627451
"KG22/KG22_150201_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"CS22/CS22_150322_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"CS22/CS22_150322_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",21.1721611721612
"CS22/CS22_150322_time_01_1","rh","mFus-faces","FG4","face","adult","AF",21.6117216117216
"CS22/CS22_150322_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",57.2161172161172
"CS22/CS22_150322_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"JH22/JH22_150227_time_01_2","rh","mFus-faces","FG4","face","adult","IFOF",0
"JH22/JH22_150227_time_01_2","rh","mFus-faces","FG4","face","adult","ILF",38.7096774193548
"JH22/JH22_150227_time_01_2","rh","mFus-faces","FG4","face","adult","AF",19.7849462365591
"JH22/JH22_150227_time_01_2","rh","mFus-faces","FG4","face","adult","pAF",41.505376344086
"JH22/JH22_150227_time_01_2","rh","mFus-faces","FG4","face","adult","VOF",0
"ML23/ML23_150314_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"ML23/ML23_150314_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",18.8498402555911
"ML23/ML23_150314_time_01_1","rh","mFus-faces","FG4","face","adult","AF",21.0862619808307
"ML23/ML23_150314_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",59.7444089456869
"ML23/ML23_150314_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"EA23/EA23_150208_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"EA23/EA23_150208_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",16.8278529980658
"EA23/EA23_150208_time_01_1","rh","mFus-faces","FG4","face","adult","AF",21.4700193423598
"EA23/EA23_150208_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",61.7021276595745
"EA23/EA23_150208_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"JP23/JP23_150210_time_01_2","rh","mFus-faces","FG4","face","adult","IFOF",0.482509047044632
"JP23/JP23_150210_time_01_2","rh","mFus-faces","FG4","face","adult","ILF",23.8841978287093
"JP23/JP23_150210_time_01_2","rh","mFus-faces","FG4","face","adult","AF",8.92641737032569
"JP23/JP23_150210_time_01_2","rh","mFus-faces","FG4","face","adult","pAF",50.1809408926417
"JP23/JP23_150210_time_01_2","rh","mFus-faces","FG4","face","adult","VOF",16.1640530759952
"SL23/SL23_150321_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"SL23/SL23_150321_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",8.80758807588076
"SL23/SL23_150321_time_01_1","rh","mFus-faces","FG4","face","adult","AF",22.5609756097561
"SL23/SL23_150321_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",67.6829268292683
"SL23/SL23_150321_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0.948509485094851
"MW23/MW23_140720_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"MW23/MW23_140720_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",7.42496050552923
"MW23/MW23_140720_time_01_1","rh","mFus-faces","FG4","face","adult","AF",21.8009478672986
"MW23/MW23_140720_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",70.695102685624
"MW23/MW23_140720_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"LB23/LB23_140706_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"LB23/LB23_140706_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",15.5555555555556
"LB23/LB23_140706_time_01_1","rh","mFus-faces","FG4","face","adult","AF",13.3333333333333
