subject,actual_label,predicted_label,classified_by,Group,Accuracy
ZCM05,FG4,FG2,Cytoarchitecture,Children,0
RHSA06,FG4,FG4,Cytoarchitecture,Children,100
INW06,FG4,FG4,Cytoarchitecture,Children,100
SM08,FG4,FG4,Cytoarchitecture,Children,100
MDT09,FG4,FG4,Cytoarchitecture,Children,100
LEE09,FG4,FG4,Cytoarchitecture,Children,100
GEJA09,FG4,FG4,Cytoarchitecture,Children,100
AG10,FG4,FG4,Cytoarchitecture,Children,100
STM10,FG4,FG4,Cytoarchitecture,Children,100
SERA10,FG4,FG4,Cytoarchitecture,Children,100
KW10,FG4,FG4,Cytoarchitecture,Children,100
NW10,FG4,FG4,Cytoarchitecture,Children,100
RJM10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11,FG4,FG4,Cytoarchitecture,Children,100
JTE11,FG4,FG4,Cytoarchitecture,Children,100
JDB11,FG4,FG4,Cytoarchitecture,Children,100
LL11,FG4,FG4,Cytoarchitecture,Children,100
CS11,FG4,FG4,Cytoarchitecture,Children,100
OS12,FG4,FG4,Cytoarchitecture,Children,100
CLC06,FG4,FG4,Cytoarchitecture,Children,100
RJ09,FG4,FG4,Cytoarchitecture,Children,100
RHSA06,FG4,FG4,Cytoarchitecture,Children,100
INW06,FG4,FG4,Cytoarchitecture,Children,100
SDS07,FG4,FG4,Cytoarchitecture,Children,100
SM08,FG4,FG2,Cytoarchitecture,Children,0
LEE09,FG4,FG4,Cytoarchitecture,Children,100
GEJA09,FG4,FG2,Cytoarchitecture,Children,0
AG10,FG4,FG4,Cytoarchitecture,Children,100
STM10,FG4,FG4,Cytoarchitecture,Children,100
SERA10,FG4,FG4,Cytoarchitecture,Children,100
KW10,FG4,FG4,Cytoarchitecture,Children,100
RJM10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11,FG4,FG4,Cytoarchitecture,Children,100
MFC11,FG4,FG4,Cytoarchitecture,Children,100
JTE11,FG4,FG4,Cytoarchitecture,Children,100
JDB11,FG4,FG4,Cytoarchitecture,Children,100
LL11,FG4,FG4,Cytoarchitecture,Children,100
CS11,FG4,FG4,Cytoarchitecture,Children,100
CLC06,FG4,FG4,Cytoarchitecture,Children,100
RJ09,FG4,FG4,Cytoarchitecture,Children,100
MEC05,FG2,FG4,Cytoarchitecture,Children,0
RHSA06,FG2,FG2,Cytoarchitecture,Children,100
INW06,FG2,FG4,Cytoarchitecture,Children,0
AlS07,FG2,FG4,Cytoarchitecture,Children,0
SM08,FG2,FG2,Cytoarchitecture,Children,100
MDT09,FG2,FG2,Cytoarchitecture,Children,100
LEE09,FG2,FG2,Cytoarchitecture,Children,100
GEJA09,FG2,FG2,Cytoarchitecture,Children,100
DAPA10,FG2,FG4,Cytoarchitecture,Children,0
STM10,FG2,FG2,Cytoarchitecture,Children,100
SERA10,FG2,FG2,Cytoarchitecture,Children,100
KW10,FG2,FG2,Cytoarchitecture,Children,100
NW10,FG2,FG2,Cytoarchitecture,Children,100
RJM10,FG2,FG2,Cytoarchitecture,Children,100
CGSA11,FG2,FG2,Cytoarchitecture,Children,100
MFC11,FG2,FG2,Cytoarchitecture,Children,100
JTE11,FG2,FG2,Cytoarchitecture,Children,100
JDB11,FG2,FG4,Cytoarchitecture,Children,0
CS11,FG2,FG2,Cytoarchitecture,Children,100
OS12,FG2,FG4,Cytoarchitecture,Children,0
RHSA06,FG2,FG2,Cytoarchitecture,Children,100
INW06,FG2,FG2,Cytoarchitecture,Children,100
SDS07,FG2,FG2,Cytoarchitecture,Children,100
SM08,FG2,FG2,Cytoarchitecture,Children,100
LEE09,FG2,FG2,Cytoarchitecture,Children,100
GEJA09,FG2,FG2,Cytoarchitecture,Children,100
AG10,FG2,FG2,Cytoarchitecture,Children,100
SERA10,FG2,FG2,Cytoarchitecture,Children,100
KW10,FG2,FG4,Cytoarchitecture,Children,0
RJM10,FG2,FG2,Cytoarchitecture,Children,100
CGSA11,FG2,FG2,Cytoarchitecture,Children,100
MFC11,FG2,FG4,Cytoarchitecture,Children,0
JDB11,FG2,FG4,Cytoarchitecture,Children,0
LL11,FG2,FG2,Cytoarchitecture,Children,100
CS11,FG2,FG4,Cytoarchitecture,Children,0
OS12,FG2,FG4,Cytoarchitecture,Children,0
CLC06,FG2,FG2,Cytoarchitecture,Children,100
ZCM05,face,face,Category,Children,100
RHSA06,face,word,Category,Children,0
INW06,face,word,Category,Children,0
SM08,face,word,Category,Children,0
MDT09,face,face,Category,Children,100
LEE09,face,word,Category,Children,0
GEJA09,face,word,Category,Children,0
AG10,face,word,Category,Children,0
STM10,face,word,Category,Children,0
SERA10,face,word,Category,Children,0
KW10,face,face,Category,Children,100
NW10,face,word,Category,Children,0
RJM10,face,word,Category,Children,0
AyS10,face,word,Category,Children,0
CGSA11,face,word,Category,Children,0
JTE11,face,word,Category,Children,0
JDB11,face,word,Category,Children,0
LL11,face,word,Category,Children,0
CS11,face,face,Category,Children,100
OS12,face,word,Category,Children,0
CLC06,face,word,Category,Children,0
RJ09,face,face,Category,Children,100
RHSA06,word,word,Category,Children,100
INW06,word,word,Category,Children,100
SDS07,word,face,Category,Children,0
SM08,word,word,Category,Children,100
